date,orders,line_items,units,revenue,avg_order_line_revenue
2022-6-1,1,2,2,556.0,278.0
2022-6-10,2,2,2,492.0,246.0
2022-6-11,6,6,6,1606.0,267.67
2022-6-12,3,3,3,834.0,278.0
2022-6-13,1,1,1,264.0,264.0
2022-6-14,3,5,5,1226.0,245.2
2022-6-15,6,10,10,2654.0,265.4
2022-6-16,2,2,2,542.0,271.0
2022-6-17,1,1,1,278.0,278.0
2022-6-18,4,5,5,1380.0,276.0
2022-6-19,2,2,2,542.0,271.0
2022-6-2,1,1,1,288.0,288.0
2022-6-20,1,1,1,278.0,278.0
2022-6-21,3,3,3,820.0,273.33
2022-6-22,1,2,2,552.0,276.0
2022-6-23,3,3,3,794.0,264.67
2022-6-24,4,5,5,1360.0,272.0
2022-6-25,2,2,2,586.0,293.0
2022-6-26,3,4,4,1082.0,270.5
2022-6-27,1,1,1,288.0,288.0
2022-6-28,2,2,2,586.0,293.0
2022-6-3,2,3,3,854.0,284.67
2022-6-30,1,1,1,258.0,258.0
2022-6-5,2,2,2,546.0,273.0
2022-6-6,13,16,16,4338.0,271.12
2022-6-8,2,3,3,806.0,268.67
2022-6-9,2,6,6,1449.0,241.5
2022-7-1,1,1,1,288.0,288.0
2022-7-10,6,6,6,1688.0,281.33
2022-7-11,3,3,4,1152.0,384.0
2022-7-12,3,3,3,864.0,288.0
2022-7-13,1,1,1,288.0,288.0
2022-7-14,4,4,4,1162.0,290.5
2022-7-15,4,5,5,1444.0,288.8
2022-7-16,4,4,4,1152.0,288.0
2022-7-17,2,2,2,586.0,293.0
2022-7-18,4,5,5,1450.0,290.0
2022-7-19,3,3,3,864.0,288.0
2022-7-2,4,5,5,1399.0,279.8
2022-7-20,1,1,1,288.0,288.0
2022-7-21,1,1,1,239.0,239.0
2022-7-22,4,4,4,1066.0,266.5
2022-7-23,5,5,5,1262.0,252.4
2022-7-24,3,3,3,830.0,276.67
2022-7-25,2,2,2,504.0,252.0
2022-7-26,5,5,5,1344.0,268.8
2022-7-27,6,6,6,1618.0,269.67
2022-7-28,1,1,1,266.0,266.0
2022-7-29,3,3,3,830.0,276.67
2022-7-3,3,5,5,1410.0,282.0
2022-7-30,8,8,8,2160.0,270.0
2022-7-31,6,7,7,1922.0,274.57
2022-7-5,2,2,2,576.0,288.0
2022-7-6,1,2,3,864.0,432.0
2022-7-7,11,11,11,3002.0,272.91
2022-7-8,1,2,2,557.0,278.5
2022-7-9,3,4,4,1100.0,275.0
2022-8-1,2,2,2,532.0,266.0
2022-8-10,3,4,4,1088.0,272.0
2022-8-11,2,2,2,532.0,266.0
2022-8-12,4,4,4,1064.0,266.0
2022-8-13,3,3,3,798.0,266.0
2022-8-14,6,6,6,1588.0,264.67
2022-8-15,9,15,15,3866.0,257.73
2022-8-16,6,7,7,1911.0,273.0
2022-8-17,7,8,8,2124.0,265.5
2022-8-18,3,3,3,864.0,288.0
2022-8-19,3,3,3,804.0,268.0
2022-8-20,4,4,4,1142.0,285.5
2022-8-22,3,4,4,1181.0,295.25
2022-8-23,4,4,4,1132.0,283.0
2022-8-24,3,3,3,864.0,288.0
2022-8-25,3,3,4,1142.0,380.67
2022-8-26,7,7,7,1852.0,264.57
2022-8-27,4,4,4,1102.0,275.5
2022-8-28,6,6,6,1748.0,291.33
2022-8-29,3,5,5,1460.0,292.0
2022-8-3,5,6,6,1555.0,259.17
2022-8-30,8,8,8,2111.0,263.88
2022-8-31,6,6,6,1727.0,287.83
2022-8-4,2,4,4,860.0,215.0
2022-8-5,3,3,3,1463.0,487.67
2022-8-6,4,7,7,1897.0,271.0
2022-8-7,3,3,3,763.0,254.33
2022-8-8,11,16,17,4249.0,265.56
2022-8-9,4,4,4,1094.0,273.5
2022-9-1,2,2,2,576.0,288.0
2022-9-10,10,12,13,3576.0,298.0
2022-9-11,5,7,7,1894.0,270.57
2022-9-12,4,4,4,1124.0,281.0
2022-9-13,1,1,1,275.0,275.0
2022-9-14,3,7,7,1629.0,232.71
2022-9-15,5,5,5,1345.0,269.0
2022-9-16,4,4,4,1152.0,288.0
2022-9-17,7,7,7,1976.0,282.29
2022-9-18,4,6,6,1678.0,279.67
2022-9-19,5,6,7,2016.0,336.0
2022-9-2,4,5,5,1470.0,294.0
2022-9-20,3,4,4,1042.0,260.5
2022-9-21,6,6,6,1738.0,289.67
2022-9-22,3,3,3,825.0,275.0
2022-9-23,2,2,2,550.0,275.0
2022-9-24,2,2,2,546.0,273.0
2022-9-25,2,2,2,536.0,268.0
2022-9-26,3,3,3,834.0,278.0
2022-9-27,3,3,3,874.0,291.33
2022-9-28,3,3,3,870.0,290.0
2022-9-29,3,3,3,854.0,284.67
2022-9-3,4,5,5,1470.0,294.0
2022-9-30,6,6,6,1596.0,266.0
2022-9-4,7,20,20,5942.0,297.1
2022-9-5,2,2,2,576.0,288.0
2022-9-6,4,4,4,1172.0,293.0
2022-9-7,3,3,3,864.0,288.0
2022-9-8,6,6,6,1738.0,289.67
2022-9-9,22,22,22,5834.0,265.18
