sku,orders,line_items,units,revenue,avg_unit_price,top_size,size_missing_rate
799,216,283,287,79182.0,275.81,XL,0.0
708,89,99,99,29146.0,294.4,2XL,0.0
9699,12,16,17,4896.0,288.0,One Size,0.0
239,11,16,16,4199.0,262.44,unknown,1.0
77,9,16,16,4055.0,253.44,unknown,1.0
bobo,10,16,17,3595.0,212.75,One Size,0.0
89,12,13,13,3341.0,257.0,3XL,0.0
79,4,9,9,2817.0,313.0,L,0.0
3799,7,9,9,2390.0,265.56,XL,0.0
218,5,7,7,2204.0,314.86,XL,0.0
1719,8,8,8,2052.0,256.5,One Size,0.0
61399,4,4,4,1112.0,278.0,M,0.0
339,2,4,4,1084.0,271.0,unknown,1.0
3081,2,5,5,990.0,198.0,One SIze,0.0
2499,4,4,4,962.0,240.5,XL,0.0
897,3,3,3,804.0,268.0,L,0.0
127,3,3,3,714.0,238.0,One Size,0.0
8499,3,3,3,699.0,233.0,M,0.0
1499,2,2,2,574.0,287.0,XL,0.0
539,2,2,2,536.0,268.0,One Size,0.0
229,1,2,2,414.0,207.0,XL,0.0
628,1,1,1,268.0,268.0,XL,0.0
439,1,1,1,258.0,258.0,unknown,1.0
29,1,1,1,227.0,227.0,S,0.0
